id,yield
15289,4521.808643125
15290,6615.952380625
15291,7235.111907500001
15292,4955.908352500001
15293,3802.6991799999996
15294,5394.5578425
15295,7114.308705625001
15296,6777.492988125001
15297,7643.213565624999
15298,4230.473804375
15299,5952.318609375001
15300,5845.579908125001
15301,5721.762214375
15302,6137.745384375
15303,5534.39302375
15304,4949.9757675
15305,5275.543713125
15306,6448.896452500001
15307,4853.5031581250005
15308,5822.554126875
15309,6279.327770625
15310,7317.800473125
15311,5338.273998750001
15312,5434.07322125
15313,6542.1242143750005
15314,4962.125300625
15315,4693.5339862499995
15316,7859.699204375
15317,5718.46001125
15318,7691.433910625
15319,7947.737245625
15320,7062.504898125
15321,7049.401368125
15322,3302.9327456250003
15323,6462.55263375
15324,3086.425583125
15325,7203.5827931250005
15326,6432.965101875001
15327,4255.7358325000005
15328,7686.354485
15329,7729.640190625
15330,4861.440889374999
15331,5822.632944374999
15332,7132.20211625
15333,6125.34164125
15334,5720.529969375
15335,7842.927408125
15336,4284.643246875
15337,7196.94793625
15338,6615.302315625
15339,6189.417448125
15340,7063.06609375
15341,5912.740751875001
15342,5656.500629375
15343,6771.164326875
15344,6504.6616875
15345,4828.79219125
15346,6422.403507499999
15347,6186.898160000001
15348,4821.064163749999
15349,6682.808626874999
15350,4644.658626875
15351,5857.883384375
15352,5932.27060125
15353,6457.309102499999
15354,4523.836838125
15355,4362.510429999999
15356,6091.099668125
15357,6452.59552625
15358,7247.343634375
15359,4991.085185
15360,4815.9641
15361,5550.389285625
15362,6208.48280125
15363,6728.4354675
15364,5477.881234375
15365,4304.466179375
15366,4949.9757675
15367,7816.0025925
15368,4908.420596874999
15369,5659.516710625
15370,6432.899699375001
15371,3872.51343875
15372,4860.777360625
15373,6159.303209375
15374,5681.16240125
15375,5464.3582475
15376,6181.10228
15377,5678.20114125
15378,5123.888081875
15379,6209.854958125
15380,7056.6986475
15381,5841.09552375
15382,5562.226800625
15383,7476.490861875
15384,5410.679288125
15385,4948.65240625
15386,3889.364565
15387,4345.636684375
15388,6979.4423856250005
15389,6303.733331875001
15390,7647.24619125
15391,6253.93780125
15392,7330.8722375
15393,6249.417670625
15394,6181.236219999999
15395,5288.73712875
15396,6840.448006250001
15397,6790.439957500001
15398,5470.993179375
15399,5695.67307875
15400,4820.5767749999995
15401,6058.75586875
15402,6239.332531874999
15403,5832.888190625
15404,7021.830456875
15405,7198.538266875001
15406,7873.849571250001
15407,5727.8222081250005
15408,7764.7003225
15409,6338.2937087499995
15410,5714.5184393750005
15411,8051.1648162500005
15412,6722.2537356249995
15413,6612.515573125
15414,5883.558159374999
15415,5816.946813750001
15416,7027.684301875
15417,5394.648336875
15418,7348.858241875
15419,4107.323235
15420,4195.8503775
15421,6404.11907
15422,4349.030358125
15423,6182.599960625001
15424,6439.988734375
15425,7048.067255625
15426,4174.350173125
15427,7531.3870875
15428,6391.28550125
15429,7198.450963125
15430,7141.608909375
15431,5417.205135
15432,5377.302937500001
15433,4887.963594375
15434,8053.79618125
15435,3969.94573875
15436,4815.799011875
15437,4991.085185
15438,5467.222408125001
15439,7072.76602125
15440,5483.287766875001
15441,6452.7646875
15442,5621.485746875
15443,4580.66089875
15444,5950.823669375
15445,3457.8855675
15446,6557.5911187500005
15447,6623.770866875
15448,7425.84948
15449,7368.962549375
15450,6683.067741875
15451,5410.500275625
15452,4789.547233125
15453,7561.040175
15454,6613.1004406249995
15455,8016.712635
15456,6353.7095256249995
15457,5995.382768125
15458,5898.428834375
15459,5896.073581875
15460,5871.889655625
15461,5104.161131250001
15462,5165.732484374999
15463,6609.851870625
15464,6523.681266874999
15465,6570.172222499999
15466,7396.233195
15467,7217.5968725
15468,3953.45777625
15469,3104.6044756250003
15470,7382.289599374999
15471,6967.648073750001
15472,6777.2526987500005
15473,5441.12992875
15474,6686.239545
15475,5184.570901249999
15476,5143.85909375
15477,5714.32249375
15478,4293.488929375
15479,6898.898069999999
15480,6436.71624375
15481,6548.600496875
15482,6593.88261875
15483,6773.0760575
15484,6556.0451175
15485,7304.4800749999995
15486,5886.814700625
15487,7669.8615768750005
15488,7020.42952375
15489,5429.70363375
15490,6625.712235
15491,6629.4522237500005
15492,5667.880383125001
15493,7223.54742125
15494,6200.431384375
15495,6708.5955618749995
15496,6612.605808125
15497,4716.622954375
15498,6789.643679375
15499,6680.588560625
15500,7344.583825
15501,5553.998338125
15502,7653.362803125001
15503,7464.722945625
15504,6800.3560025
15505,6480.48889375
15506,4468.0991775
15507,4639.0887218749995
15508,5960.790590625
15509,3789.35484625
15510,5226.4061575
15511,6216.129974375
15512,5531.070654375
15513,7021.078381875001
15514,7577.443834375
15515,6636.345186875
15516,4991.085185
15517,7106.72074625
15518,7245.4271325
15519,7473.613700625001
15520,6353.653943125
15521,6309.463230625
15522,6226.873539374999
15523,6596.9482025
15524,7362.257324374999
15525,5344.42792625
15526,5707.2024525
15527,4388.8978375
15528,4988.885133125
15529,7122.290254375001
15530,6413.9514975
15531,6587.452060625001
15532,7176.6197
15533,4738.1484631250005
15534,7828.745815
15535,3719.91900625
15536,6349.830844375
15537,5341.8837725
15538,6542.662166875
15539,7136.40888875
15540,6122.60945
15541,6739.786555625
15542,6889.601766875001
15543,7263.8910025000005
15544,4789.888187500001
15545,5246.900697499999
15546,7417.224985000001
15547,5921.098940625
15548,6100.6562756250005
15549,7430.1877675000005
15550,6957.63067375
15551,6774.849991875
15552,6698.8203781249995
15553,4052.971589375
15554,5831.656054375
15555,6101.3093256249995
15556,6822.371695
15557,6747.092241875
15558,3914.4353343750004
15559,5367.115354375
15560,7239.503121250001
15561,5781.53483625
15562,7337.610235625
15563,7223.849153125
15564,4385.476000625
15565,6382.33006875
15566,6577.848388125
15567,6729.171808749999
15568,3691.1784868749996
15569,4728.420014375
15570,5077.62076625
15571,5426.6761725
15572,4023.0108737499995
15573,6011.230043750001
15574,6024.198823125
15575,6510.487554375
15576,4635.002221875
15577,6516.232739375
15578,6557.220630624999
15579,3589.7253218749997
15580,6964.323053125
15581,7326.22417625
15582,6338.4220399999995
15583,3933.543918125
15584,5575.13576625
15585,4395.396059999999
15586,6326.938436875
15587,7696.38220375
15588,6909.808596875
15589,5775.802124374999
15590,5029.677189375
15591,5860.761989375
15592,7701.161190000001
15593,7270.21063125
15594,6721.6614793749995
