id,yield
15289,4643.7151779166325
15290,6320.603563759269
15291,7098.115156572649
15292,5172.812316961513
15293,3985.8408784310595
15294,4948.284468629459
15295,7205.898352429171
15296,6133.162795624936
15297,8259.653228772238
15298,4621.189844790527
15299,5926.498925921105
15300,6012.347845576091
15301,5596.509264900391
15302,6000.069059972318
15303,5183.714821139311
15304,4792.591829269802
15305,4863.312619407751
15306,6050.0995230681765
15307,4892.782469705889
15308,5861.501559606439
15309,5941.730870719646
15310,7644.545621512756
15311,4567.16353438728
15312,5131.7780083502485
15313,6492.368706055871
15314,5298.372810567248
15315,4929.997786986583
15316,8134.191511768968
15317,5750.8232920817445
15318,7809.378347740838
15319,8122.003029634392
15320,6885.988600261069
15321,6531.760721197508
15322,3261.8865395924677
15323,5838.90487623455
15324,3121.0600841367977
15325,6570.150379014769
15326,6158.558838820438
15327,4339.90787529443
15328,7747.38227631717
15329,7809.0467023684305
15330,4859.833443480335
15331,5627.338194007003
15332,6988.321815586436
15333,6378.41599940583
15334,5713.263472742145
15335,8172.744867012572
15336,4218.171487427539
15337,7510.833277834807
15338,5244.602802014041
15339,5779.817132674547
15340,6669.4223699504055
15341,5852.674624367719
15342,5511.484422519745
15343,6567.16858090795
15344,6043.349917851179
15345,4752.042812294407
15346,6103.481981407482
15347,6349.101194337678
15348,3979.795940364107
15349,6552.162772059044
15350,4832.238989342347
15351,6133.476347683969
15352,5712.804604489327
15353,6843.029466467993
15354,4507.538115653199
15355,4709.743207587682
15356,6474.564039220157
15357,6427.003332141481
15358,6866.595349864343
15359,5126.187024164025
15360,4926.582291541747
15361,5724.164729156339
15362,5806.830718373441
15363,6561.383563388488
15364,5235.456723723154
15365,4773.09665992386
15366,4624.970871431785
15367,7583.809423812523
15368,4824.200365043468
15369,5710.13029679783
15370,6372.467434106815
15371,4309.660278541718
15372,4765.4766511860435
15373,6229.941903737046
15374,5695.212079420156
15375,5502.574335528894
15376,5996.492886616847
15377,5744.129733593796
15378,5093.669972380245
15379,6028.887881534129
15380,7386.890444123012
15381,5768.996610361084
15382,5614.755145247683
15383,7304.982449430176
