Id,SalePrice
1461,126554.1501872504
1462,157186.57697817887
1463,183003.5340661627
1464,201748.86759674287
1465,193409.89983859746
1466,177862.21489553846
1467,189577.57787195075
1468,162906.945718663
1469,206862.5497829881
1470,112127.6191383127
1471,204280.9768840458
1472,111671.78317939135
1473,99572.19293202221
1474,144490.55406062136
1475,112243.30374302337
1476,321199.8288382759
1477,245753.24258201796
1478,286552.96542722214
1479,271306.9976414472
1480,436752.7606094409
1481,304229.09828393505
1482,211197.83621593093
1483,180702.87457035965
1484,169786.86931206862
1485,174298.40973881743
1486,202210.0713861172
1487,289712.4884653519
1488,254010.28245479421
1489,191444.45345125784
1490,241950.6721393838
1491,206761.3660295009
1492,87006.38810940593
1493,187867.47121063474
1494,285373.9901546372
1495,282700.09576286183
1496,227017.87818071985
1497,179222.59564815433
1498,154155.1040645304
1499,152189.85558540717
1500,147137.1026933854
1501,205174.54645622236
1502,142707.46268674516
1503,278600.66308648715
1504,241601.3747851429
1505,226312.48229766468
1506,209593.40024788765
1507,268141.7645655742
1508,211281.81207165372
1509,156904.8146000313
1510,151186.7708498877
1511,153212.66008996562
1512,197517.2356131118
1513,164220.56518497918
1514,166488.83294104825
1515,245184.70801202412
1516,174937.15446320683
1517,183392.70944724831
1518,125434.77631853934
1519,250129.78042194824
1520,133698.14509762236
1521,143154.10710351582
1522,196086.53138037346
1523,92540.81770074269
1524,114799.03659660317
1525,116961.2458896832
1526,102057.13290315372
1527,88680.46835970407
1528,148808.0442351533
1529,133903.88740682922
1530,226492.19584248512
1531,139741.52883531916
1532,106905.90343652823
1533,142713.92111643538
1534,126169.45634063164
1535,175598.97661191196
1536,109869.7030961478
1537,23879.196931221464
1538,184137.62038692244
1539,226202.22930112522
1540,129137.74993765977
1541,162124.78934141056
1542,157133.85935863008
1543,212233.6518167273
1544,62591.969332714274
1545,126532.23585499887
1546,117637.00227240537
1547,138822.4242186632
1548,139723.07212165248
1549,120546.95776647184
1550,116875.29497538664
1551,129797.95534664852
1552,124244.46180756198
1553,158323.08974132285
1554,116312.00386679446
1555,188729.13869348046
1556,70654.25463494885
1557,111023.96365344984
1558,88108.81209234934
1559,79122.66101350234
1560,133489.75548759493
1561,136424.97456989478
1562,110496.32470243581
1563,116540.999518505
1564,166255.4790334389
1565,130287.17700436729
1566,253675.04162654484
1567,55987.54865862493
1568,227259.26567749813
1569,105327.56139060616
1570,131558.94711792556
1571,101677.66698820115
1572,149077.96105034061
